date,rate_percent,rate_decimal
2019-08-31,-0.4076818181818179,-0.004076818181818179
2019-09-01,-0.4175714285714289,-0.0041757142857142895
2019-09-02,-0.4175714285714289,-0.0041757142857142895
2019-09-03,-0.4175714285714289,-0.0041757142857142895
2019-09-04,-0.4175714285714289,-0.0041757142857142895
2019-09-05,-0.4175714285714289,-0.0041757142857142895
2019-09-06,-0.4175714285714289,-0.0041757142857142895
2019-09-07,-0.4175714285714289,-0.0041757142857142895
2019-09-08,-0.4175714285714289,-0.0041757142857142895
2019-09-09,-0.4175714285714289,-0.0041757142857142895
2019-09-10,-0.4175714285714289,-0.0041757142857142895
2019-09-11,-0.4175714285714289,-0.0041757142857142895
2019-09-12,-0.4175714285714289,-0.0041757142857142895
2019-09-13,-0.4175714285714289,-0.0041757142857142895
2019-09-14,-0.4175714285714289,-0.0041757142857142895
2019-09-15,-0.4175714285714289,-0.0041757142857142895
2019-09-16,-0.4175714285714289,-0.0041757142857142895
2019-09-17,-0.4175714285714289,-0.0041757142857142895
2019-09-18,-0.4175714285714289,-0.0041757142857142895
2019-09-19,-0.4175714285714289,-0.0041757142857142895
2019-09-20,-0.4175714285714289,-0.0041757142857142895
2019-09-21,-0.4175714285714289,-0.0041757142857142895
2019-09-22,-0.4175714285714289,-0.0041757142857142895
2019-09-23,-0.4175714285714289,-0.0041757142857142895
2019-09-24,-0.4175714285714289,-0.0041757142857142895
2019-09-25,-0.4175714285714289,-0.0041757142857142895
2019-09-26,-0.4175714285714289,-0.0041757142857142895
2019-09-27,-0.4175714285714289,-0.0041757142857142895
2019-09-28,-0.4175714285714289,-0.0041757142857142895
2019-09-29,-0.4175714285714289,-0.0041757142857142895
2019-09-30,-0.4175714285714289,-0.0041757142857142895
2019-10-01,-0.4128695652173908,-0.0041286956521739086
2019-10-02,-0.4128695652173908,-0.0041286956521739086
2019-10-03,-0.4128695652173908,-0.0041286956521739086
2019-10-04,-0.4128695652173908,-0.0041286956521739086
2019-10-05,-0.4128695652173908,-0.0041286956521739086
2019-10-06,-0.4128695652173908,-0.0041286956521739086
2019-10-07,-0.4128695652173908,-0.0041286956521739086
2019-10-08,-0.4128695652173908,-0.0041286956521739086
2019-10-09,-0.4128695652173908,-0.0041286956521739086
2019-10-10,-0.4128695652173908,-0.0041286956521739086
2019-10-11,-0.4128695652173908,-0.0041286956521739086
2019-10-12,-0.4128695652173908,-0.0041286956521739086
2019-10-13,-0.4128695652173908,-0.0041286956521739086
2019-10-14,-0.4128695652173908,-0.0041286956521739086
2019-10-15,-0.4128695652173908,-0.0041286956521739086
2019-10-16,-0.4128695652173908,-0.0041286956521739086
2019-10-17,-0.4128695652173908,-0.0041286956521739086
2019-10-18,-0.4128695652173908,-0.0041286956521739086
2019-10-19,-0.4128695652173908,-0.0041286956521739086
2019-10-20,-0.4128695652173908,-0.0041286956521739086
2019-10-21,-0.4128695652173908,-0.0041286956521739086
2019-10-22,-0.4128695652173908,-0.0041286956521739086
2019-10-23,-0.4128695652173908,-0.0041286956521739086
2019-10-24,-0.4128695652173908,-0.0041286956521739086
2019-10-25,-0.4128695652173908,-0.0041286956521739086
2019-10-26,-0.4128695652173908,-0.0041286956521739086
2019-10-27,-0.4128695652173908,-0.0041286956521739086
2019-10-28,-0.4128695652173908,-0.0041286956521739086
2019-10-29,-0.4128695652173908,-0.0041286956521739086
2019-10-30,-0.4128695652173908,-0.0041286956521739086
2019-10-31,-0.4128695652173908,-0.0041286956521739086
2019-11-01,-0.4012857142857139,-0.004012857142857139
2019-11-02,-0.4012857142857139,-0.004012857142857139
2019-11-03,-0.4012857142857139,-0.004012857142857139
2019-11-04,-0.4012857142857139,-0.004012857142857139
2019-11-05,-0.4012857142857139,-0.004012857142857139
2019-11-06,-0.4012857142857139,-0.004012857142857139
2019-11-07,-0.4012857142857139,-0.004012857142857139
2019-11-08,-0.4012857142857139,-0.004012857142857139
2019-11-09,-0.4012857142857139,-0.004012857142857139
2019-11-10,-0.4012857142857139,-0.004012857142857139
2019-11-11,-0.4012857142857139,-0.004012857142857139
2019-11-12,-0.4012857142857139,-0.004012857142857139
2019-11-13,-0.4012857142857139,-0.004012857142857139
2019-11-14,-0.4012857142857139,-0.004012857142857139
2019-11-15,-0.4012857142857139,-0.004012857142857139
2019-11-16,-0.4012857142857139,-0.004012857142857139
2019-11-17,-0.4012857142857139,-0.004012857142857139
2019-11-18,-0.4012857142857139,-0.004012857142857139
2019-11-19,-0.4012857142857139,-0.004012857142857139
2019-11-20,-0.4012857142857139,-0.004012857142857139
2019-11-21,-0.4012857142857139,-0.004012857142857139
2019-11-22,-0.4012857142857139,-0.004012857142857139
2019-11-23,-0.4012857142857139,-0.004012857142857139
2019-11-24,-0.4012857142857139,-0.004012857142857139
2019-11-25,-0.4012857142857139,-0.004012857142857139
2019-11-26,-0.4012857142857139,-0.004012857142857139
2019-11-27,-0.4012857142857139,-0.004012857142857139
2019-11-28,-0.4012857142857139,-0.004012857142857139
2019-11-29,-0.4012857142857139,-0.004012857142857139
2019-11-30,-0.4012857142857139,-0.004012857142857139
2019-12-01,-0.3947,-0.003947
2019-12-02,-0.3947,-0.003947
2019-12-03,-0.3947,-0.003947
2019-12-04,-0.3947,-0.003947
2019-12-05,-0.3947,-0.003947
2019-12-06,-0.3947,-0.003947
2019-12-07,-0.3947,-0.003947
2019-12-08,-0.3947,-0.003947
2019-12-09,-0.3947,-0.003947
2019-12-10,-0.3947,-0.003947
2019-12-11,-0.3947,-0.003947
2019-12-12,-0.3947,-0.003947
2019-12-13,-0.3947,-0.003947
2019-12-14,-0.3947,-0.003947
2019-12-15,-0.3947,-0.003947
2019-12-16,-0.3947,-0.003947
2019-12-17,-0.3947,-0.003947
2019-12-18,-0.3947,-0.003947
2019-12-19,-0.3947,-0.003947
2019-12-20,-0.3947,-0.003947
2019-12-21,-0.3947,-0.003947
2019-12-22,-0.3947,-0.003947
2019-12-23,-0.3947,-0.003947
2019-12-24,-0.3947,-0.003947
2019-12-25,-0.3947,-0.003947
2019-12-26,-0.3947,-0.003947
2019-12-27,-0.3947,-0.003947
2019-12-28,-0.3947,-0.003947
2019-12-29,-0.3947,-0.003947
2019-12-30,-0.3947,-0.003947
2019-12-31,-0.3947,-0.003947
2020-01-01,-0.391136363636364,-0.00391136363636364
2020-01-02,-0.391136363636364,-0.00391136363636364
2020-01-03,-0.391136363636364,-0.00391136363636364
2020-01-04,-0.391136363636364,-0.00391136363636364
2020-01-05,-0.391136363636364,-0.00391136363636364
2020-01-06,-0.391136363636364,-0.00391136363636364
2020-01-07,-0.391136363636364,-0.00391136363636364
2020-01-08,-0.391136363636364,-0.00391136363636364
2020-01-09,-0.391136363636364,-0.00391136363636364
2020-01-10,-0.391136363636364,-0.00391136363636364
2020-01-11,-0.391136363636364,-0.00391136363636364
2020-01-12,-0.391136363636364,-0.00391136363636364
2020-01-13,-0.391136363636364,-0.00391136363636364
2020-01-14,-0.391136363636364,-0.00391136363636364
2020-01-15,-0.391136363636364,-0.00391136363636364
2020-01-16,-0.391136363636364,-0.00391136363636364
2020-01-17,-0.391136363636364,-0.00391136363636364
2020-01-18,-0.391136363636364,-0.00391136363636364
2020-01-19,-0.391136363636364,-0.00391136363636364
2020-01-20,-0.391136363636364,-0.00391136363636364
2020-01-21,-0.391136363636364,-0.00391136363636364
2020-01-22,-0.391136363636364,-0.00391136363636364
2020-01-23,-0.391136363636364,-0.00391136363636364
2020-01-24,-0.391136363636364,-0.00391136363636364
2020-01-25,-0.391136363636364,-0.00391136363636364
2020-01-26,-0.391136363636364,-0.00391136363636364
2020-01-27,-0.391136363636364,-0.00391136363636364
2020-01-28,-0.391136363636364,-0.00391136363636364
2020-01-29,-0.391136363636364,-0.00391136363636364
2020-01-30,-0.391136363636364,-0.00391136363636364
2020-01-31,-0.391136363636364,-0.00391136363636364
2020-02-01,-0.4088499999999999,-0.004088499999999998
2020-02-02,-0.4088499999999999,-0.004088499999999998
2020-02-03,-0.4088499999999999,-0.004088499999999998
2020-02-04,-0.4088499999999999,-0.004088499999999998
2020-02-05,-0.4088499999999999,-0.004088499999999998
2020-02-06,-0.4088499999999999,-0.004088499999999998
2020-02-07,-0.4088499999999999,-0.004088499999999998
2020-02-08,-0.4088499999999999,-0.004088499999999998
2020-02-09,-0.4088499999999999,-0.004088499999999998
2020-02-10,-0.4088499999999999,-0.004088499999999998
2020-02-11,-0.4088499999999999,-0.004088499999999998
2020-02-12,-0.4088499999999999,-0.004088499999999998
2020-02-13,-0.4088499999999999,-0.004088499999999998
2020-02-14,-0.4088499999999999,-0.004088499999999998
2020-02-15,-0.4088499999999999,-0.004088499999999998
2020-02-16,-0.4088499999999999,-0.004088499999999998
2020-02-17,-0.4088499999999999,-0.004088499999999998
2020-02-18,-0.4088499999999999,-0.004088499999999998
2020-02-19,-0.4088499999999999,-0.004088499999999998
2020-02-20,-0.4088499999999999,-0.004088499999999998
2020-02-21,-0.4088499999999999,-0.004088499999999998
2020-02-22,-0.4088499999999999,-0.004088499999999998
2020-02-23,-0.4088499999999999,-0.004088499999999998
2020-02-24,-0.4088499999999999,-0.004088499999999998
2020-02-25,-0.4088499999999999,-0.004088499999999998
2020-02-26,-0.4088499999999999,-0.004088499999999998
2020-02-27,-0.4088499999999999,-0.004088499999999998
2020-02-28,-0.4088499999999999,-0.004088499999999998
2020-02-29,-0.4088499999999999,-0.004088499999999998
2020-03-01,-0.416636363636364,-0.00416636363636364
2020-03-02,-0.416636363636364,-0.00416636363636364
2020-03-03,-0.416636363636364,-0.00416636363636364
2020-03-04,-0.416636363636364,-0.00416636363636364
2020-03-05,-0.416636363636364,-0.00416636363636364
2020-03-06,-0.416636363636364,-0.00416636363636364
2020-03-07,-0.416636363636364,-0.00416636363636364
2020-03-08,-0.416636363636364,-0.00416636363636364
2020-03-09,-0.416636363636364,-0.00416636363636364
2020-03-10,-0.416636363636364,-0.00416636363636364
2020-03-11,-0.416636363636364,-0.00416636363636364
2020-03-12,-0.416636363636364,-0.00416636363636364
2020-03-13,-0.416636363636364,-0.00416636363636364
2020-03-14,-0.416636363636364,-0.00416636363636364
2020-03-15,-0.416636363636364,-0.00416636363636364
2020-03-16,-0.416636363636364,-0.00416636363636364
2020-03-17,-0.416636363636364,-0.00416636363636364
2020-03-18,-0.416636363636364,-0.00416636363636364
2020-03-19,-0.416636363636364,-0.00416636363636364
2020-03-20,-0.416636363636364,-0.00416636363636364
2020-03-21,-0.416636363636364,-0.00416636363636364
2020-03-22,-0.416636363636364,-0.00416636363636364
2020-03-23,-0.416636363636364,-0.00416636363636364
2020-03-24,-0.416636363636364,-0.00416636363636364
2020-03-25,-0.416636363636364,-0.00416636363636364
2020-03-26,-0.416636363636364,-0.00416636363636364
2020-03-27,-0.416636363636364,-0.00416636363636364
2020-03-28,-0.416636363636364,-0.00416636363636364
2020-03-29,-0.416636363636364,-0.00416636363636364
2020-03-30,-0.416636363636364,-0.00416636363636364
2020-03-31,-0.416636363636364,-0.00416636363636364
2020-04-01,-0.25405,-0.0025405
2020-04-02,-0.25405,-0.0025405
2020-04-03,-0.25405,-0.0025405
2020-04-04,-0.25405,-0.0025405
2020-04-05,-0.25405,-0.0025405
2020-04-06,-0.25405,-0.0025405
2020-04-07,-0.25405,-0.0025405
2020-04-08,-0.25405,-0.0025405
2020-04-09,-0.25405,-0.0025405
2020-04-10,-0.25405,-0.0025405
2020-04-11,-0.25405,-0.0025405
2020-04-12,-0.25405,-0.0025405
2020-04-13,-0.25405,-0.0025405
2020-04-14,-0.25405,-0.0025405
2020-04-15,-0.25405,-0.0025405
2020-04-16,-0.25405,-0.0025405
2020-04-17,-0.25405,-0.0025405
2020-04-18,-0.25405,-0.0025405
2020-04-19,-0.25405,-0.0025405
2020-04-20,-0.25405,-0.0025405
2020-04-21,-0.25405,-0.0025405
2020-04-22,-0.25405,-0.0025405
2020-04-23,-0.25405,-0.0025405
2020-04-24,-0.25405,-0.0025405
2020-04-25,-0.25405,-0.0025405
2020-04-26,-0.25405,-0.0025405
2020-04-27,-0.25405,-0.0025405
2020-04-28,-0.25405,-0.0025405
2020-04-29,-0.25405,-0.0025405
2020-04-30,-0.25405,-0.0025405
2020-05-01,-0.27195,-0.0027195
2020-05-02,-0.27195,-0.0027195
2020-05-03,-0.27195,-0.0027195
2020-05-04,-0.27195,-0.0027195
2020-05-05,-0.27195,-0.0027195
2020-05-06,-0.27195,-0.0027195
2020-05-07,-0.27195,-0.0027195
2020-05-08,-0.27195,-0.0027195
2020-05-09,-0.27195,-0.0027195
2020-05-10,-0.27195,-0.0027195
2020-05-11,-0.27195,-0.0027195
2020-05-12,-0.27195,-0.0027195
2020-05-13,-0.27195,-0.0027195
2020-05-14,-0.27195,-0.0027195
2020-05-15,-0.27195,-0.0027195
2020-05-16,-0.27195,-0.0027195
2020-05-17,-0.27195,-0.0027195
2020-05-18,-0.27195,-0.0027195
2020-05-19,-0.27195,-0.0027195
2020-05-20,-0.27195,-0.0027195
2020-05-21,-0.27195,-0.0027195
2020-05-22,-0.27195,-0.0027195
2020-05-23,-0.27195,-0.0027195
2020-05-24,-0.27195,-0.0027195
2020-05-25,-0.27195,-0.0027195
2020-05-26,-0.27195,-0.0027195
2020-05-27,-0.27195,-0.0027195
2020-05-28,-0.27195,-0.0027195
2020-05-29,-0.27195,-0.0027195
2020-05-30,-0.27195,-0.0027195
2020-05-31,-0.27195,-0.0027195
2020-06-01,-0.376,-0.00376
2020-06-02,-0.376,-0.00376
2020-06-03,-0.376,-0.00376
2020-06-04,-0.376,-0.00376
2020-06-05,-0.376,-0.00376
2020-06-06,-0.376,-0.00376
2020-06-07,-0.376,-0.00376
2020-06-08,-0.376,-0.00376
2020-06-09,-0.376,-0.00376
2020-06-10,-0.376,-0.00376
2020-06-11,-0.376,-0.00376
2020-06-12,-0.376,-0.00376
2020-06-13,-0.376,-0.00376
2020-06-14,-0.376,-0.00376
2020-06-15,-0.376,-0.00376
2020-06-16,-0.376,-0.00376
2020-06-17,-0.376,-0.00376
2020-06-18,-0.376,-0.00376
2020-06-19,-0.376,-0.00376
2020-06-20,-0.376,-0.00376
2020-06-21,-0.376,-0.00376
2020-06-22,-0.376,-0.00376
2020-06-23,-0.376,-0.00376
2020-06-24,-0.376,-0.00376
2020-06-25,-0.376,-0.00376
2020-06-26,-0.376,-0.00376
2020-06-27,-0.376,-0.00376
2020-06-28,-0.376,-0.00376
2020-06-29,-0.376,-0.00376
2020-06-30,-0.376,-0.00376
2020-07-01,-0.444130434782609,-0.00444130434782609
2020-07-02,-0.444130434782609,-0.00444130434782609
2020-07-03,-0.444130434782609,-0.00444130434782609
2020-07-04,-0.444130434782609,-0.00444130434782609
2020-07-05,-0.444130434782609,-0.00444130434782609
2020-07-06,-0.444130434782609,-0.00444130434782609
2020-07-07,-0.444130434782609,-0.00444130434782609
2020-07-08,-0.444130434782609,-0.00444130434782609
2020-07-09,-0.444130434782609,-0.00444130434782609
2020-07-10,-0.444130434782609,-0.00444130434782609
2020-07-11,-0.444130434782609,-0.00444130434782609
2020-07-12,-0.444130434782609,-0.00444130434782609
2020-07-13,-0.444130434782609,-0.00444130434782609
2020-07-14,-0.444130434782609,-0.00444130434782609
2020-07-15,-0.444130434782609,-0.00444130434782609
2020-07-16,-0.444130434782609,-0.00444130434782609
2020-07-17,-0.444130434782609,-0.00444130434782609
2020-07-18,-0.444130434782609,-0.00444130434782609
2020-07-19,-0.444130434782609,-0.00444130434782609
2020-07-20,-0.444130434782609,-0.00444130434782609
2020-07-21,-0.444130434782609,-0.00444130434782609
2020-07-22,-0.444130434782609,-0.00444130434782609
2020-07-23,-0.444130434782609,-0.00444130434782609
2020-07-24,-0.444130434782609,-0.00444130434782609
2020-07-25,-0.444130434782609,-0.00444130434782609
2020-07-26,-0.444130434782609,-0.00444130434782609
2020-07-27,-0.444130434782609,-0.00444130434782609
2020-07-28,-0.444130434782609,-0.00444130434782609
2020-07-29,-0.444130434782609,-0.00444130434782609
2020-07-30,-0.444130434782609,-0.00444130434782609
2020-07-31,-0.444130434782609,-0.00444130434782609
2020-08-01,-0.4797142857142859,-0.004797142857142859
2020-08-02,-0.4797142857142859,-0.004797142857142859
2020-08-03,-0.4797142857142859,-0.004797142857142859
2020-08-04,-0.4797142857142859,-0.004797142857142859
2020-08-05,-0.4797142857142859,-0.004797142857142859
2020-08-06,-0.4797142857142859,-0.004797142857142859
2020-08-07,-0.4797142857142859,-0.004797142857142859
2020-08-08,-0.4797142857142859,-0.004797142857142859
2020-08-09,-0.4797142857142859,-0.004797142857142859
2020-08-10,-0.4797142857142859,-0.004797142857142859
2020-08-11,-0.4797142857142859,-0.004797142857142859
2020-08-12,-0.4797142857142859,-0.004797142857142859
2020-08-13,-0.4797142857142859,-0.004797142857142859
2020-08-14,-0.4797142857142859,-0.004797142857142859
2020-08-15,-0.4797142857142859,-0.004797142857142859
2020-08-16,-0.4797142857142859,-0.004797142857142859
2020-08-17,-0.4797142857142859,-0.004797142857142859
2020-08-18,-0.4797142857142859,-0.004797142857142859
2020-08-19,-0.4797142857142859,-0.004797142857142859
2020-08-20,-0.4797142857142859,-0.004797142857142859
2020-08-21,-0.4797142857142859,-0.004797142857142859
2020-08-22,-0.4797142857142859,-0.004797142857142859
2020-08-23,-0.4797142857142859,-0.004797142857142859
2020-08-24,-0.4797142857142859,-0.004797142857142859
2020-08-25,-0.4797142857142859,-0.004797142857142859
2020-08-26,-0.4797142857142859,-0.004797142857142859
2020-08-27,-0.4797142857142859,-0.004797142857142859
2020-08-28,-0.4797142857142859,-0.004797142857142859
2020-08-29,-0.4797142857142859,-0.004797142857142859
2020-08-30,-0.4797142857142859,-0.004797142857142859
2020-08-31,-0.4797142857142859,-0.004797142857142859
2020-09-01,-0.4913636363636358,-0.004913636363636358
2020-09-02,-0.4913636363636358,-0.004913636363636358
2020-09-03,-0.4913636363636358,-0.004913636363636358
2020-09-04,-0.4913636363636358,-0.004913636363636358
2020-09-05,-0.4913636363636358,-0.004913636363636358
2020-09-06,-0.4913636363636358,-0.004913636363636358
2020-09-07,-0.4913636363636358,-0.004913636363636358
2020-09-08,-0.4913636363636358,-0.004913636363636358
2020-09-09,-0.4913636363636358,-0.004913636363636358
2020-09-10,-0.4913636363636358,-0.004913636363636358
2020-09-11,-0.4913636363636358,-0.004913636363636358
2020-09-12,-0.4913636363636358,-0.004913636363636358
2020-09-13,-0.4913636363636358,-0.004913636363636358
2020-09-14,-0.4913636363636358,-0.004913636363636358
2020-09-15,-0.4913636363636358,-0.004913636363636358
2020-09-16,-0.4913636363636358,-0.004913636363636358
2020-09-17,-0.4913636363636358,-0.004913636363636358
2020-09-18,-0.4913636363636358,-0.004913636363636358
2020-09-19,-0.4913636363636358,-0.004913636363636358
2020-09-20,-0.4913636363636358,-0.004913636363636358
2020-09-21,-0.4913636363636358,-0.004913636363636358
2020-09-22,-0.4913636363636358,-0.004913636363636358
2020-09-23,-0.4913636363636358,-0.004913636363636358
2020-09-24,-0.4913636363636358,-0.004913636363636358
2020-09-25,-0.4913636363636358,-0.004913636363636358
2020-09-26,-0.4913636363636358,-0.004913636363636358
2020-09-27,-0.4913636363636358,-0.004913636363636358
2020-09-28,-0.4913636363636358,-0.004913636363636358
2020-09-29,-0.4913636363636358,-0.004913636363636358
2020-09-30,-0.4913636363636358,-0.004913636363636358
2020-10-01,-0.509136363636364,-0.00509136363636364
2020-10-02,-0.509136363636364,-0.00509136363636364
2020-10-03,-0.509136363636364,-0.00509136363636364
2020-10-04,-0.509136363636364,-0.00509136363636364
2020-10-05,-0.509136363636364,-0.00509136363636364
2020-10-06,-0.509136363636364,-0.00509136363636364
2020-10-07,-0.509136363636364,-0.00509136363636364
2020-10-08,-0.509136363636364,-0.00509136363636364
2020-10-09,-0.509136363636364,-0.00509136363636364
2020-10-10,-0.509136363636364,-0.00509136363636364
2020-10-11,-0.509136363636364,-0.00509136363636364
2020-10-12,-0.509136363636364,-0.00509136363636364
2020-10-13,-0.509136363636364,-0.00509136363636364
2020-10-14,-0.509136363636364,-0.00509136363636364
2020-10-15,-0.509136363636364,-0.00509136363636364
2020-10-16,-0.509136363636364,-0.00509136363636364
2020-10-17,-0.509136363636364,-0.00509136363636364
2020-10-18,-0.509136363636364,-0.00509136363636364
2020-10-19,-0.509136363636364,-0.00509136363636364
2020-10-20,-0.509136363636364,-0.00509136363636364
2020-10-21,-0.509136363636364,-0.00509136363636364
2020-10-22,-0.509136363636364,-0.00509136363636364
2020-10-23,-0.509136363636364,-0.00509136363636364
2020-10-24,-0.509136363636364,-0.00509136363636364
2020-10-25,-0.509136363636364,-0.00509136363636364
2020-10-26,-0.509136363636364,-0.00509136363636364
2020-10-27,-0.509136363636364,-0.00509136363636364
2020-10-28,-0.509136363636364,-0.00509136363636364
2020-10-29,-0.509136363636364,-0.00509136363636364
2020-10-30,-0.509136363636364,-0.00509136363636364
2020-10-31,-0.509136363636364,-0.00509136363636364
2020-11-01,-0.5208571428571429,-0.005208571428571429
2020-11-02,-0.5208571428571429,-0.005208571428571429
2020-11-03,-0.5208571428571429,-0.005208571428571429
2020-11-04,-0.5208571428571429,-0.005208571428571429
2020-11-05,-0.5208571428571429,-0.005208571428571429
2020-11-06,-0.5208571428571429,-0.005208571428571429
2020-11-07,-0.5208571428571429,-0.005208571428571429
2020-11-08,-0.5208571428571429,-0.005208571428571429
2020-11-09,-0.5208571428571429,-0.005208571428571429
2020-11-10,-0.5208571428571429,-0.005208571428571429
2020-11-11,-0.5208571428571429,-0.005208571428571429
2020-11-12,-0.5208571428571429,-0.005208571428571429
2020-11-13,-0.5208571428571429,-0.005208571428571429
2020-11-14,-0.5208571428571429,-0.005208571428571429
2020-11-15,-0.5208571428571429,-0.005208571428571429
2020-11-16,-0.5208571428571429,-0.005208571428571429
2020-11-17,-0.5208571428571429,-0.005208571428571429
2020-11-18,-0.5208571428571429,-0.005208571428571429
2020-11-19,-0.5208571428571429,-0.005208571428571429
2020-11-20,-0.5208571428571429,-0.005208571428571429
2020-11-21,-0.5208571428571429,-0.005208571428571429
2020-11-22,-0.5208571428571429,-0.005208571428571429
2020-11-23,-0.5208571428571429,-0.005208571428571429
2020-11-24,-0.5208571428571429,-0.005208571428571429
2020-11-25,-0.5208571428571429,-0.005208571428571429
2020-11-26,-0.5208571428571429,-0.005208571428571429
2020-11-27,-0.5208571428571429,-0.005208571428571429
2020-11-28,-0.5208571428571429,-0.005208571428571429
2020-11-29,-0.5208571428571429,-0.005208571428571429
2020-11-30,-0.5208571428571429,-0.005208571428571429
2020-12-01,-0.538090909090909,-0.00538090909090909
2020-12-02,-0.538090909090909,-0.00538090909090909
2020-12-03,-0.538090909090909,-0.00538090909090909
2020-12-04,-0.538090909090909,-0.00538090909090909
2020-12-05,-0.538090909090909,-0.00538090909090909
2020-12-06,-0.538090909090909,-0.00538090909090909
2020-12-07,-0.538090909090909,-0.00538090909090909
2020-12-08,-0.538090909090909,-0.00538090909090909
2020-12-09,-0.538090909090909,-0.00538090909090909
2020-12-10,-0.538090909090909,-0.00538090909090909
2020-12-11,-0.538090909090909,-0.00538090909090909
2020-12-12,-0.538090909090909,-0.00538090909090909
2020-12-13,-0.538090909090909,-0.00538090909090909
2020-12-14,-0.538090909090909,-0.00538090909090909
2020-12-15,-0.538090909090909,-0.00538090909090909
2020-12-16,-0.538090909090909,-0.00538090909090909
2020-12-17,-0.538090909090909,-0.00538090909090909
2020-12-18,-0.538090909090909,-0.00538090909090909
2020-12-19,-0.538090909090909,-0.00538090909090909
2020-12-20,-0.538090909090909,-0.00538090909090909
2020-12-21,-0.538090909090909,-0.00538090909090909
2020-12-22,-0.538090909090909,-0.00538090909090909
2020-12-23,-0.538090909090909,-0.00538090909090909
2020-12-24,-0.538090909090909,-0.00538090909090909
2020-12-25,-0.538090909090909,-0.00538090909090909
2020-12-26,-0.538090909090909,-0.00538090909090909
2020-12-27,-0.538090909090909,-0.00538090909090909
2020-12-28,-0.538090909090909,-0.00538090909090909
2020-12-29,-0.538090909090909,-0.00538090909090909
2020-12-30,-0.538090909090909,-0.00538090909090909
2020-12-31,-0.538090909090909,-0.00538090909090909
2021-01-01,-0.54715,-0.005471500000000001
2021-01-02,-0.54715,-0.005471500000000001
2021-01-03,-0.54715,-0.005471500000000001
2021-01-04,-0.54715,-0.005471500000000001
2021-01-05,-0.54715,-0.005471500000000001
2021-01-06,-0.54715,-0.005471500000000001
2021-01-07,-0.54715,-0.005471500000000001
2021-01-08,-0.54715,-0.005471500000000001
2021-01-09,-0.54715,-0.005471500000000001
2021-01-10,-0.54715,-0.005471500000000001
2021-01-11,-0.54715,-0.005471500000000001
2021-01-12,-0.54715,-0.005471500000000001
2021-01-13,-0.54715,-0.005471500000000001
2021-01-14,-0.54715,-0.005471500000000001
2021-01-15,-0.54715,-0.005471500000000001
2021-01-16,-0.54715,-0.005471500000000001
2021-01-17,-0.54715,-0.005471500000000001
2021-01-18,-0.54715,-0.005471500000000001
2021-01-19,-0.54715,-0.005471500000000001
2021-01-20,-0.54715,-0.005471500000000001
2021-01-21,-0.54715,-0.005471500000000001
2021-01-22,-0.54715,-0.005471500000000001
2021-01-23,-0.54715,-0.005471500000000001
2021-01-24,-0.54715,-0.005471500000000001
2021-01-25,-0.54715,-0.005471500000000001
2021-01-26,-0.54715,-0.005471500000000001
2021-01-27,-0.54715,-0.005471500000000001
2021-01-28,-0.54715,-0.005471500000000001
2021-01-29,-0.54715,-0.005471500000000001
2021-01-30,-0.54715,-0.005471500000000001
2021-01-31,-0.54715,-0.005471500000000001
2021-02-01,-0.5411,-0.005411
2021-02-02,-0.5411,-0.005411
2021-02-03,-0.5411,-0.005411
2021-02-04,-0.5411,-0.005411
2021-02-05,-0.5411,-0.005411
2021-02-06,-0.5411,-0.005411
2021-02-07,-0.5411,-0.005411
2021-02-08,-0.5411,-0.005411
2021-02-09,-0.5411,-0.005411
2021-02-10,-0.5411,-0.005411
2021-02-11,-0.5411,-0.005411
2021-02-12,-0.5411,-0.005411
2021-02-13,-0.5411,-0.005411
2021-02-14,-0.5411,-0.005411
2021-02-15,-0.5411,-0.005411
2021-02-16,-0.5411,-0.005411
2021-02-17,-0.5411,-0.005411
2021-02-18,-0.5411,-0.005411
2021-02-19,-0.5411,-0.005411
2021-02-20,-0.5411,-0.005411
2021-02-21,-0.5411,-0.005411
2021-02-22,-0.5411,-0.005411
2021-02-23,-0.5411,-0.005411
2021-02-24,-0.5411,-0.005411
2021-02-25,-0.5411,-0.005411
2021-02-26,-0.5411,-0.005411
2021-02-27,-0.5411,-0.005411
2021-02-28,-0.5411,-0.005411
2021-03-01,-0.5390869565217389,-0.005390869565217389
2021-03-02,-0.5390869565217389,-0.005390869565217389
2021-03-03,-0.5390869565217389,-0.005390869565217389
2021-03-04,-0.5390869565217389,-0.005390869565217389
2021-03-05,-0.5390869565217389,-0.005390869565217389
2021-03-06,-0.5390869565217389,-0.005390869565217389
2021-03-07,-0.5390869565217389,-0.005390869565217389
2021-03-08,-0.5390869565217389,-0.005390869565217389
2021-03-09,-0.5390869565217389,-0.005390869565217389
2021-03-10,-0.5390869565217389,-0.005390869565217389
2021-03-11,-0.5390869565217389,-0.005390869565217389
2021-03-12,-0.5390869565217389,-0.005390869565217389
2021-03-13,-0.5390869565217389,-0.005390869565217389
2021-03-14,-0.5390869565217389,-0.005390869565217389
2021-03-15,-0.5390869565217389,-0.005390869565217389
2021-03-16,-0.5390869565217389,-0.005390869565217389
2021-03-17,-0.5390869565217389,-0.005390869565217389
2021-03-18,-0.5390869565217389,-0.005390869565217389
2021-03-19,-0.5390869565217389,-0.005390869565217389
2021-03-20,-0.5390869565217389,-0.005390869565217389
2021-03-21,-0.5390869565217389,-0.005390869565217389
